author_id,author_key,name,book_count
1,OL25123A,Anna Sewell,1
2,OL556110A,Joanna Campbell,1
3,OL3348124A,Stacy Gregg,1
4,OL473292A,Tom Ivers,1
5,OL25788A,John Steinbeck,1
6,OL31574A,C.S. Lewis,1
7,OL161167A,Arthur Conan Doyle,3
8,OL24950A,Astrid Lindgren,1
9,OL21001A,Henry James,1
10,OL2319898A,United States. Congress. Senate. Committee on Patents,1
11,OL22105A,Aristotle,1
12,OL18404A,Όμηρος,1
13,OL24522A,Jonathan Swift,1
14,OL3477047A,Michael Morpurgo,1
15,OL2675811A,Golden Books,1
16,OL29622A,Robin McKinley,1
17,OL2655350A,DK Publishing,1
18,OL18977A,Nora Roberts,2
19,OL3244142A,Gail B. Ladwig,1
20,OL592126A,Jean-Marie Denoix,2
21,OL6928331A,Brian C. Gilger,1
22,OL7313292A,Graham Munroe,1
23,OL3158497A,Klaus-Dieter Budras,1
24,OL3236189A,C. C. Sheldon,1
25,OL2848108A,Bradford P. Smith,1
26,OL584727A,Mary W. Bromiley,1
27,OL2735912A,Kathryn Nankervis,1
28,OL404657A,Linda Tellington-Jones,1
29,OL7405371A,J. H. van der Kolk,1
30,OL5174519A,Andris J. Kaneps,1
31,OL585053A,Ted S. Stashak,1
32,OL397464A,James A. Orsini,2
33,OL6723782A,Barbara D. Forney,1
34,OL6744811A,"Gill, David W.",1
35,OL1608605A,Mimi Porter,1
36,OL3644414A,Dominique Giniaux,1
